customerID,restaurantID
2,14971
2,7300
2,8749
2,5389
2,3332
2,3146
2,8477
2,16149
2,2454
2,6233
3,10974
3,5165
3,10204
3,1547
3,14634
3,15511
3,11254
3,16210
3,7232
3,5622
3,10620
3,7769
3,10232
3,16758
3,725
4,14855
4,2770
4,12155
4,12705
4,16205
4,3582
4,4194
4,10636
4,7621
4,7136
4,11247
4,14362
4,78
4,4511
5,14885
5,11378
5,3319
5,12853
5,12441
5,1613
5,479
5,6895
5,2832
5,9621
5,14017
5,15334
6,10302
6,16941
6,4383
6,3091
6,11887
6,6197
6,2897
6,6511
6,14431
7,10763
7,4881
7,12242
7,15934
7,12883
8,326
8,11067
8,164
8,15164
8,6325
8,9314
8,14312
8,9429
8,180
8,12924
8,12260
9,16992
9,12374
9,2241
9,15453
9,3268
9,7228
9,7095
9,15847
9,11128
9,980
10,1862
10,3740
10,10259
10,8793
12,7320
12,4114
12,1225
12,6122
12,4756
12,15883
12,16889
12,5240
12,13154
13,2208
13,9438
13,65
13,5103
13,13565
13,1824
13,14778
13,8236
13,1131
13,8515
13,334
13,15063
13,11476
13,16465
13,14402
13,10210
13,5625
13,9272
13,15515
14,9281
14,11252
14,410
14,8419
14,10812
14,5323
14,11980
14,7403
14,13672
16,6906
17,5359
17,8505
17,5626
17,15121
17,15448
18,7841
18,3567
18,180
18,7672
18,7200
18,14159
18,7469
18,13302
18,9347
18,1597
18,55
18,6569
18,7793
18,12488
18,13491
18,501
19,5944
19,12685
19,4262
19,1793
20,16332
20,1915
20,4697
20,11342
20,3637
20,13331
20,970
20,3333
20,1212
20,7761
20,16005
20,1024
20,4682
20,6897
20,11497
20,10
20,6088
20,11228
21,6230
21,6483
21,14054
21,5961
22,11030
22,11774
22,8589
22,10313
22,9228
22,12776
22,6880
22,3465
22,14613
22,10984
23,11680
23,1951
23,7535
23,10122
23,9674
23,15113
23,2265
23,11979
23,14713
23,11579
23,16017
23,5001
23,10970
23,16972
23,2782
23,16368
24,12378
24,5124
24,15841
24,5591
24,2249
24,10897
24,12002
24,10736
24,3916
24,278
24,6752
24,13349
24,7214
24,15717
25,9104
26,4772
26,7212
26,12120
26,13567
26,2151
26,3664
26,13914
26,10094
26,3891
26,5736
26,6061
26,15097
27,13562
27,5841
27,4081
27,16447
27,1409
27,100
27,2841
27,14060
28,1152
28,11525
28,4738
30,6957
31,13050
31,15630
31,3413
31,3347
31,7596
31,5492
32,437
33,13268
33,4440
33,16193
33,8569
33,9475
33,10024
33,2092
33,15189
33,4417
33,10844
34,15851
34,15547
34,359
34,7323
34,5834
34,548
34,4388
34,244
34,5753
34,14974
34,12400
34,8720
34,10567
34,14650
34,8147
34,14320
34,7541
35,2699
35,8091
35,4449
35,11013
35,16850
35,6567
35,7904
35,14851
35,7548
35,10565
35,14503
35,771
35,1698
35,2613
35,8474
35,13104
35,7192
35,8852
36,9003
37,15897
37,10207
37,13117
37,13253
37,15321
37,16453
37,15000
37,7404
37,10687
38,15999
38,6492
38,14442
38,9307
38,9753
38,8985
38,10870
38,10126
38,5976
38,6764
39,6675
39,3128
39,16599
39,1941
39,6374
40,14330
40,14620
40,6404
40,4725
40,9600
40,1200
40,13281
40,16172
40,7630
40,7103
40,3501
40,28
40,13185
40,13520
41,7518
41,3714
41,9001
41,4360
41,15986
41,16911
42,11944
42,6109
42,8965
42,12580
42,13859
42,10634
42,9515
42,7842
42,6598
42,16815
42,6555
42,401
42,4996
42,3267
42,2059
42,14207
42,13625
42,1141
43,6697
43,15184
44,12546
44,11414
44,9178
44,16069
44,10891
44,3051
44,10256
44,9076
44,4935
44,6862
44,7161
44,2051
44,1932
44,6545
45,14075
45,13183
45,16283
45,479
45,754
45,7301
45,12122
45,9890
46,12956
46,7190
46,1165
46,6206
46,9416
46,2830
46,5127
46,15321
46,13222
46,1065
46,3944
46,844
46,7247
46,3062
46,631
46,10787
47,13540
47,4283
47,9795
47,4728
47,11783
47,1790
47,5405
47,10284
47,14332
47,767
47,14502
47,7721
47,9394
47,7679
47,1184
47,9035
47,13699
47,14756
47,10089
48,9028
48,6030
48,13098
48,4030
48,6628
48,13847
48,5761
48,453
48,14546
48,16954
48,16796
48,10847
48,15390
48,11105
49,1588
49,10004
49,4150
49,3822
49,1815
49,10532
49,3113
49,16710
49,6234
49,14741
49,2134
49,4215
49,1816
49,11734
49,8908
49,1163
49,14722
49,11907
49,3429
49,8798
50,3517
50,741
50,3294
50,14715
50,3661
50,2645
50,16466
51,10743
51,5494
51,9403
52,2081
52,1313
52,15544
52,14702
52,16501
52,4801
52,12194
52,1377
52,9116
52,16826
52,1450
52,11765
52,13058
52,10674
52,11515
52,5804
52,7782
53,14867
53,14434
53,2988
53,1795
53,9345
53,1689
53,8268
53,7476
53,14785
53,4780
53,13966
53,5983
53,13300
53,13611
53,9002
53,14119
54,6325
54,6250
54,16902
55,5151
55,1308
55,11717
55,7876
55,10728
55,9921
55,15286
55,13285
55,9726
55,8469
55,14920
55,15322
55,8477
55,15184
55,2552
55,8738
55,2569
55,4539
56,15279
56,960
56,10717
56,2731
57,11096
57,10763
57,8465
57,16027
57,4494
57,13576
57,2413
57,3036
57,10445
57,7170
57,2599
58,16369
58,14740
58,8271
58,8373
58,14518
59,15034
59,9150
59,2440
59,10324
59,12198
59,15447
59,8765
59,6357
59,8077
59,16020
59,11753
59,16482
60,6140
60,8762
60,9120
60,16148
62,12502
62,14811
62,1786
62,13058
62,12316
62,3603
62,14329
62,8836
62,13660
62,10142
62,1543
62,8731
62,11268
62,4708
62,11861
62,3362
63,1699
63,16301
63,424
64,12259
64,3152
64,15161
64,12940
64,3051
64,5090
64,9780
65,16454
65,1337
65,3884
65,8999
65,8821
65,825
65,16645
65,9866
65,9250
65,13202
65,15854
65,4066
65,14231
66,2557
66,3951
66,8946
66,13966
66,618
66,3378
66,671
66,26
66,6844
66,8196
66,2699
66,7643
67,15872
67,14946
67,1469
67,14149
67,16728
67,4439
68,16830
68,3464
68,11036
68,5726
68,9095
68,8146
68,15365
68,11811
68,6315
68,15807
68,7893
68,11421
68,4327
68,8583
68,8148
68,11344
68,12110
68,15677
68,10220
69,9277
69,3153
69,10249
69,11857
69,13861
69,2902
69,14229
69,14752
69,809
69,10398
69,3823
69,3590
69,5572
69,4975
69,10042
69,11151
69,15710
69,299
69,3387
69,520
70,14030
70,4592
70,13026
70,14549
70,3102
70,13678
70,14501
70,3467
71,10872
71,13992
71,16439
71,15111
71,1475
71,11681
71,12512
71,8967
71,6372
71,632
71,15090
71,10646
71,2943
71,4590
71,11203
71,60
71,10150
71,9614
71,2383
72,2314
72,14789
72,1346
72,6054
72,2091
73,10144
73,12636
73,4376
74,10373
74,12632
74,7815
74,15943
75,10630
75,2999
75,14714
75,1920
75,16530
76,9605
76,12908
76,4569
76,9243
76,639
76,4838
76,6575
76,4005
76,10317
76,2441
76,1433
77,10313
77,6350
77,2409
77,4678
77,11225
77,9652
77,2348
77,3646
77,10972
77,346
77,8200
77,9194
77,16352
77,15673
77,774
78,5365
78,12905
78,1966
78,7204
78,15686
78,11754
78,1991
78,3093
78,11276
78,13820
79,3950
79,16439
79,10560
79,11917
79,6975
79,13754
79,9980
79,8381
79,3249
79,3367
80,4418
80,9259
80,3819
81,558
81,3929
81,6953
81,11237
81,5857
81,1004
81,3752
81,9218
81,8683
81,3516
81,16016
83,16899
83,8282
83,12203
83,4938
83,7874
83,13908
83,11591
83,6751
83,12483
83,16089
83,14152
83,14869
83,13207
83,13052
83,7660
83,846
83,14543
83,16921
83,10997
83,7717
84,13415
84,10474
84,7823
84,16386
84,3134
84,15626
84,15666
84,11681
84,12060
84,11312
86,1533
86,8985
86,4773
86,5190
86,6571
86,4882
87,14700
87,14171
87,2801
87,5634
87,8327
87,5894
87,8090
87,4054
87,3896
87,3655
87,10991
87,10898
88,2609
88,7631
88,7611
88,12846
88,4292
88,4893
88,8851
89,1215
89,3909
89,1874
89,1762
89,14693
89,8461
89,16421
89,1265
89,10305
89,9206
89,10330
89,13701
90,5981
90,1099
90,3791
90,14731
90,2751
